regime,model,pr_auc_mean_3seed,pr_auc_std_3seed,delta_vs_clean
Clean (physics-only),Logistic Regression,0.6712434154863001,0.0007101897440977127,
Clean (physics-only),Random Forest,0.6599844220178354,0.0018351369981080604,
Leaked (leakage-inclusive),Logistic Regression,0.9999774506427036,8.744489648050767e-06,0.32873403515640354
Leaked (leakage-inclusive),Random Forest,0.9999626079880558,6.1287639252245755e-06,0.33997818597022045
Suspect-added,Logistic Regression,0.9988026920385961,2.2028994331217905e-05,0.327559276552296
Suspect-added,Random Forest,0.9973067285589412,0.00030165173854488123,0.33732230654110584
