regime,model,pr_auc_mean_3seed,pr_auc_std_3seed,delta_vs_clean,delta_leaked_vs_suspect
Clean (physics-only),Logistic Regression,0.7318396713866395,0.0002974675016958476,,
Clean (physics-only),Random Forest,0.7231338768058716,0.0006067101867168589,,
Leaked (leakage-inclusive),Logistic Regression,0.9999632843423845,1.5968002508323346e-05,0.26812361295574494,0.13035950978315913
Leaked (leakage-inclusive),Random Forest,0.9999784468850713,1.8531243674217812e-06,0.2768445700791997,0.143454939935452
Suspect-added,Logistic Regression,0.8696037745592253,0.00020430304349474952,0.1377641031725858,
Suspect-added,Random Forest,0.8565235069496193,0.0012441951742553769,0.13338963014374772,
