gamma1,gamma0,quick_physics_only_prauc,n_estimators,exploration_seed,in_target_range_0.70_0.74,dist_to_center_0.72
2.0,-0.66796875,0.6581456302956552,300,99,False,0.06185436970434477
2.3,-0.7294921875,0.683429101532641,300,99,False,0.03657089846735895
2.6,-0.79248046875,0.6915326206890354,300,99,False,0.028467379310964547
3.0,-0.88037109375,0.7105969450629959,300,99,True,0.009403054937004107
3.4,-0.9697265625,0.7208112638032966,300,99,True,0.0008112638032966579
3.8,-1.06201171875,0.7349863594218072,300,99,True,0.01498635942180726
4.0,-1.107421875,0.7410148417248668,300,99,False,0.021014841724866784
