alpha,sigma,flag_weight_1_minus_alpha,n_estimators,exploration_seed,clean_prauc,suspect_prauc,leaked_prauc,delta_suspect_clean,delta_leaked_suspect,suspect_in_target_0.80_0.90,meets_min_gap_0.04
0.9,0.15,0.1,300,99,0.7208112638032966,0.8916551147401739,0.9999696879942214,0.17084385093687726,0.10831457325404747,True,True
0.85,0.15,0.15,300,99,0.7208112638032966,0.9130730600590837,0.9999674081009269,0.1922617962557871,0.08689434804184315,False,True
0.85,0.25,0.15,300,99,0.7208112638032966,0.8557812985863287,0.99997097520008,0.13497003478303204,0.14418967661375137,True,True
0.8,0.25,0.2,300,99,0.7208112638032966,0.8706480468919076,0.9999687787763903,0.14983678308861093,0.1293207318844828,True,True
