Phase,combination,contradiction,editorial,extension,methodology-import,profile,validation,Total
Phase1 (2015-2019),0,0,0,4,1,1,0,6
Phase2 (2020-2022),5,0,0,8,0,1,3,17
Phase3 (2023-2024),0,0,0,3,2,2,1,8
Phase4 (2025-2026),2,4,2,4,1,1,1,15
TOTAL,7,4,2,19,4,5,5,46
