Phase,Cross-sectional,Editorial,Letter,Other,Pilot RCT,Prospective cohort,RCT,Retrospective cohort,Single-arm trial,Systematic review,Target trial emulation,Validation study,Total
Phase1 (2015-2019),2,0,0,0,1,3,0,0,0,0,0,0,6
Phase2 (2020-2022),5,0,0,1,0,1,3,3,0,1,0,3,17
Phase3 (2023-2024),1,0,0,0,0,3,1,0,0,0,1,2,8
Phase4 (2025-2026),0,3,1,0,0,3,0,5,1,0,1,1,15
TOTAL,8,3,1,1,1,10,4,8,1,1,2,6,46
