model,regime,data_seed_42_round3,data_seed_43,data_seed_44,data_seed_45,new_seeds_min,new_seeds_max,seed42_within_new_range
Logistic Regression,Clean (physics-only),0.73184,0.7443771833197953,0.7248953686001812,0.7297650783935824,0.7248953686001812,0.7443771833197953,True
Logistic Regression,Suspect-added,0.869604,0.8692484922209829,0.8591832872515465,0.8608569652129954,0.8591832872515465,0.8692484922209829,False
Logistic Regression,Leaked (leakage-inclusive),0.999963,0.9999822045412996,0.9999916770719341,0.9999855307438258,0.9999822045412996,0.9999916770719341,False
Random Forest,Clean (physics-only),0.723134,0.7362792549464894,0.7146468479057436,0.7159592454678881,0.7146468479057436,0.7362792549464894,True
Random Forest,Suspect-added,0.856524,0.8601399698083504,0.8437945014993516,0.8520597557368017,0.8437945014993516,0.8601399698083504,True
Random Forest,Leaked (leakage-inclusive),0.999978,0.9999738914675795,0.999988012528643,0.9999893792458132,0.9999738914675795,0.9999893792458132,True
